device,caseName,description,topology,calibrationMode,gammaW,pW,meanW,minW,activeWeakLinkFraction,normalScaleApplied,shapeScore,shapeFullMap,shapeLowBias,shapeZeroBias,shapeAsymmetry,conductanceScore,conductanceFullMap,conductanceLowBias,conductanceZeroBias,conductanceAsymmetry,modelRN_top_4_10,modelRN_bottom_3_9,seed,sourceVersion,sourceRole,sourceFile
AS006,tear_lane_g0_03_p0_08,"tear-like interrupted lane, \gamma_W=0.03, p_W=0.08",tear_lane,conductance,0.03,0.08,0.922230936819171,0.03,0.0801742919389978,146.726419003131,0.205425197654574,0.236054179459178,0.309649725691059,0.15242488665688,0.0586536805332388,0.208601052278585,0.240935217055479,0.313620634379487,0.150466723645203,0.06515052961684,236.403910524545,256.200777560188,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,tear_lane_g0_003_p0_03,"tear-like interrupted lane, \gamma_W=0.003, p_W=0.03",tear_lane,conductance,0.003,0.03,0.969590413943355,0.003,0.0305010893246187,165.78439007266,0.206142179653295,0.252646690626066,0.308659122285195,0.152367662269354,0.0474511658046268,0.219778503691676,0.280209784029996,0.335699291283577,0.140666419321317,0.0553759505304761,233.265683057703,237.143058828447,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,tear_lane_g0_01_p0_03,"tear-like interrupted lane, \gamma_W=0.01, p_W=0.03",tear_lane,conductance,0.01,0.03,0.969803921568627,0.01,0.0305010893246187,166.070277247896,0.206285117100611,0.25328641909869,0.308855441317167,0.15218800291859,0.0474071404510875,0.219925803513783,0.280938618016403,0.336022890121716,0.140503595736825,0.0550208471684753,233.44660411767,236.853019725943,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,tear_lane_g0_03_p0_03,"tear-like interrupted lane, \gamma_W=0.03, p_W=0.03",tear_lane,conductance,0.03,0.03,0.970413943355119,0.03,0.0305010893246187,166.829820831959,0.206897550105656,0.255462586650227,0.310024429245608,0.151342382192139,0.0473044349580623,0.220259212621411,0.282663800284628,0.336793716502417,0.140119866763587,0.0540934254887142,233.915250137875,236.785139260565,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,shuffled_g0_003_p0_08,"shuffled W histogram, \gamma_W=0.003, p_W=0.08",shuffled,conductance,0.003,0.08,0.920066230936818,0.003,0.0801742919389978,144.254072451089,0.209090660039647,0.26077102967376,0.317826120200891,0.145418381157056,0.0467135837265979,0.261964510276779,0.356955378648166,0.409016376254443,0.149545229337376,0.0501569776187329,212.90254773496,202.864895839078,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,shuffled_g0_01_p0_08,"shuffled W histogram, \gamma_W=0.01, p_W=0.08",shuffled,conductance,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,144.977968925041,0.209348270646391,0.261709421888747,0.318170763643116,0.145235658861573,0.0466885213907859,0.261633367414061,0.356796406386257,0.408465554101884,0.149237055800011,0.0500093912557353,213.26945995605,203.234207980891,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,shuffled_g0_03_p0_08,"shuffled W histogram, \gamma_W=0.03, p_W=0.08",shuffled,conductance,0.03,0.08,0.922230936819171,0.03,0.0801742919389978,146.726419003131,0.210023852815472,0.264170709275619,0.319057073642433,0.14477460896882,0.0466304147164563,0.261182280285491,0.35705987396955,0.407595482164059,0.148716925746818,0.0496632764872769,214.010521909729,203.940503505711,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,contact_relaxation_g0_003_p0_08,"metal-contact relaxation halos, \gamma_W=0.003, p_W=0.08",contact_relaxation,conductance,0.003,0.08,0.918762962962962,0.003,0.0814814814814815,144.254072451089,0.211508061512576,0.243188817789345,0.340801714630508,0.13711302668412,0.0465572058149983,0.189133249447836,0.185202290745469,0.258723890623165,0.202737425673231,0.0542753658116375,302.465089193863,287.095743620209,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,contact_relaxation_g0_01_p0_08,"metal-contact relaxation halos, \gamma_W=0.01, p_W=0.08",contact_relaxation,conductance,0.01,0.08,0.919333333333333,0.01,0.0814814814814815,144.977968925041,0.21151121306565,0.243806794680287,0.340393418792728,0.137152042791314,0.046620734271549,0.189064921608246,0.185754435943987,0.260967433536259,0.198985687139341,0.0541450544846133,300.400045731553,285.232814376099,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
AS006,contact_relaxation_g0_03_p0_08,"metal-contact relaxation halos, \gamma_W=0.03, p_W=0.08",contact_relaxation,conductance,0.03,0.08,0.920962962962962,0.03,0.0814814814814815,146.726419003131,0.211701794472519,0.24584004813424,0.339567678183365,0.137238664607522,0.0468771566480614,0.189513888195373,0.188996886979751,0.267876230199158,0.188792895001863,0.0537980323962578,294.633601140487,280.152577359093,2202,v7.4.5,runtime_cleaned_physical_bottleneck_Wij_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_5_files/outputs/v7_4_5_as006_physical_bottleneck_v77_seed_2202/AS006_v7_4_5_physical_bottleneck_scores.csv
