device,sourceVersion,sourceRole,caseName,topology,linkClass,calibrationMode,seed,mechanism,primaryRTScore,transitionScore,probeAsymmetryScore,heldoutScore,parameterCount,complexityPenalty,objectiveScore,hasBothProbePairs,hasHeldoutDiagnostic
AS006,v7.4.6,gap_tied_weak_links,combined_a4_1_g0_03_p0_03,combined,boundary_constriction,shape,NaN,gap-tied weak links,0.209310735736507,0.229374213179624,0.0504344276300106,0.213867908888994,4,0.1,0.510864492261718,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a4_1_g0_01_p0_03,combined,boundary_constriction,conductance,NaN,gap-tied weak links,0.20923094366085,0.229370308238353,0.0509835960400915,0.214241118416341,4,0.1,0.511165260429366,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a4_1_g0_01_p0_03,combined,boundary_constriction,shape,NaN,gap-tied weak links,0.20923094366085,0.229370308238353,0.0509835960400915,0.214241118416341,4,0.1,0.511165260429366,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a4_1_g0_003_p0_03,combined,boundary_constriction,conductance,NaN,gap-tied weak links,0.209211980761952,0.229379593754849,0.0510622423567794,0.214520881591558,4,0.1,0.511239076888855,1,1
AS006,v7.4.6,gap_tied_weak_links,combined_a4_1_g0_003_p0_03,combined,boundary_constriction,shape,NaN,gap-tied weak links,0.209211980761952,0.229379593754849,0.0510622423567794,0.214520881591558,4,0.1,0.511239076888855,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_3_g0_01_p0_03,tear_lane,crack_tunnel,conductance,NaN,gap-tied weak links,0.210521665934562,0.230308864208877,0.0474851457449003,0.220534429345824,4,0.1,0.511818085781405,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_3_g0_03_p0_03,tear_lane,crack_tunnel,conductance,NaN,gap-tied weak links,0.210664532868875,0.230304100144216,0.047418044098407,0.220356125814519,4,0.1,0.511892453621027,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_3_g0_003_p0_03,tear_lane,crack_tunnel,conductance,NaN,gap-tied weak links,0.21054590215241,0.230343655214034,0.0475416790364732,0.220681856683493,4,0.1,0.511918098537693,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,boundary_lane_g0_03_p0_08,boundary_lane,,shape,NaN,physical bottleneck W_{ij},0.220157114055336,0.234355771774689,0.0710049979274309,0.214955151835462,3,0.075,0.512197674648739,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_7_g0_01_p0_03,tear_lane,crack_tunnel,shape,NaN,gap-tied weak links,0.211494535305322,0.230513617322549,0.0477295891002177,0.214602266081987,4,0.1,0.51221409397898,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_7_g0_003_p0_03,tear_lane,crack_tunnel,shape,NaN,gap-tied weak links,0.211472791224559,0.230537164791312,0.0477552715389841,0.214585399555561,4,0.1,0.512219475500712,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_7_g0_03_p0_03,tear_lane,crack_tunnel,shape,NaN,gap-tied weak links,0.211701064133455,0.230528040185733,0.0476557065807433,0.214817002536021,4,0.1,0.512415656856961,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a4_1_g0_01_p0_03,tear_lane,crack_tunnel,shape,NaN,gap-tied weak links,0.212034909368943,0.23056480365623,0.0483560138798315,0.215299204354393,4,0.1,0.51326068532042,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a4_1_g0_003_p0_03,tear_lane,crack_tunnel,shape,NaN,gap-tied weak links,0.212013197887505,0.23058855994577,0.0484075522792321,0.215278696258895,4,0.1,0.51328121915109,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_7_g0_01_p0_03,tear_lane,crack_tunnel,conductance,NaN,gap-tied weak links,0.211630117333367,0.230513154723358,0.0477982297797053,0.221619155882135,4,0.1,0.513391281697996,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_7_g0_003_p0_03,tear_lane,crack_tunnel,conductance,NaN,gap-tied weak links,0.211626280859724,0.230540581390267,0.0478481147578327,0.221760728614485,4,0.1,0.513453963098726,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a4_1_g0_03_p0_03,tear_lane,crack_tunnel,shape,NaN,gap-tied weak links,0.212302848872532,0.230597758114084,0.0482998998012714,0.215535577642197,4,0.1,0.513548513532751,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a3_7_g0_03_p0_03,tear_lane,crack_tunnel,conductance,NaN,gap-tied weak links,0.211884618827363,0.230543608496302,0.0477645340828404,0.221470498304815,4,0.1,0.513622697211966,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_03_p0_08,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.214804128247814,0.231027365542182,0.0487549870792596,0.196890826421827,4,0.1,0.513895355156209,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_03_p0_08,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.215134908313522,0.231797928585028,0.0484915854812839,0.196158875179532,4,0.1,0.514424163541136,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a4_1_g0_01_p0_03,tear_lane,crack_tunnel,conductance,NaN,gap-tied weak links,0.212182755731941,0.230566533945785,0.0488331120483395,0.222265949418968,4,0.1,0.514688828571067,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a4_1_g0_003_p0_03,tear_lane,crack_tunnel,conductance,NaN,gap-tied weak links,0.212164604634596,0.230590187787425,0.0489073572532394,0.222402782997378,4,0.1,0.514748863648705,1,1
AS006,v7.4.6,gap_tied_weak_links,crack_tunnel_a4_1_g0_03_p0_03,tear_lane,crack_tunnel,conductance,NaN,gap-tied weak links,0.212404132610564,0.230590977192507,0.0486724939431794,0.222142611230199,4,0.1,0.514810969882608,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_01_p0_08,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.215529682809847,0.23164229743438,0.0487845186041305,0.196715607808009,4,0.1,0.514982154522264,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_3_g0_01_p0_03,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.213314233751471,0.230890664017873,0.0479028402723831,0.219093240581059,4,0.1,0.515005105634912,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_3_g0_003_p0_03,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.213335860592676,0.230903694357494,0.0479075741438914,0.21908605062102,4,0.1,0.515036366448126,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_3_g0_03_p0_03,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.213342803406317,0.230894582023848,0.0478809707036426,0.2192041922033,4,0.1,0.51503871396636,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_3_g0_03_p0_08,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.215467396371822,0.232877182652314,0.0483166213127161,0.19515603215227,4,0.1,0.515153521861698,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_01_p0_08,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.215796864455939,0.232478216507857,0.0485200274218953,0.196055431424009,4,0.1,0.515496333846559,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_003_p0_08,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.215956071796527,0.231983599892708,0.0487958581795101,0.196872408710642,4,0.1,0.515642888791935,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_3_g0_01_p0_08,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.215952177384047,0.233552795349002,0.048409251508585,0.195109514884592,4,0.1,0.516092487120485,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_003_p0_08,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.216193226510991,0.232847828319823,0.0485445074333621,0.196231767048466,4,0.1,0.51615476049234,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_03_p0_08,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.213469222258111,0.229728456392855,0.0488671339283859,0.229807815328086,4,0.1,0.516561475900181,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_3_g0_003_p0_08,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.216254158695752,0.233910827688068,0.0484688322796388,0.195303900214479,4,0.1,0.516673289311163,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_7_g0_01_p0_03,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.214611275483243,0.231176798238653,0.0479796238919701,0.220172609491146,4,0.1,0.516673637440369,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_7_g0_003_p0_03,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.214630982227858,0.231189388608264,0.0479774690948978,0.220163727866632,4,0.1,0.516698341033788,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_7_g0_03_p0_03,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.214663533604817,0.231191765680603,0.0479723571043659,0.220294987770784,4,0.1,0.516747938258918,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a4_1_g0_01_p0_03,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.215475520805501,0.231375893518197,0.0480253667120795,0.22082844817144,4,0.1,0.517778133267913,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a4_1_g0_003_p0_03,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.215493107195106,0.231387321630447,0.0480285712687655,0.22081768357822,4,0.1,0.517802967504257,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_3_g0_03_p0_03,boundary_lane,boundary_constriction,conductance,NaN,gap-tied weak links,0.213875439237451,0.230973618874662,0.0479181293571578,0.234489160156799,4,0.1,0.517805400503486,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_03_p0_08,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.214432932925884,0.230526002647067,0.048773200450201,0.228888365130174,4,0.1,0.517817427756561,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_01_p0_08,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.214202884266913,0.230165125150254,0.0490368061171515,0.231013089698193,4,0.1,0.517829111398411,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a4_1_g0_03_p0_03,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.215527147210631,0.231391307190365,0.04803633429922,0.220961478465752,4,0.1,0.517864516944033,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_3_g0_01_p0_03,boundary_lane,boundary_constriction,conductance,NaN,gap-tied weak links,0.213861648841037,0.230968998093268,0.0479178801336888,0.235276652424585,4,0.1,0.51789946899076,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_3_g0_003_p0_03,boundary_lane,boundary_constriction,conductance,NaN,gap-tied weak links,0.213892596809532,0.230983142912489,0.0479207154056232,0.235638206930996,4,0.1,0.517991443229621,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_3_g0_03_p0_08,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.214786599169557,0.231264592633973,0.0485229134668253,0.227672223814487,4,0.1,0.518292074832169,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_003_p0_08,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.214666767251788,0.230433666609891,0.049126110658935,0.23161888282228,4,0.1,0.518593169116607,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_01_p0_08,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.215209798867911,0.231033984456705,0.0489219139827928,0.230104627321841,4,0.1,0.519160158811776,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_7_g0_03_p0_03,boundary_lane,boundary_constriction,conductance,NaN,gap-tied weak links,0.215041111399849,0.231250966592006,0.0480178671831834,0.235427898402427,4,0.1,0.519329373400852,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_7_g0_01_p0_03,boundary_lane,boundary_constriction,conductance,NaN,gap-tied weak links,0.215010831215265,0.231239679886108,0.0480217672029954,0.236193972934389,4,0.1,0.51940234821175,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_3_g0_01_p0_08,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.215446759311949,0.231780143576231,0.0485450815441954,0.228879509265719,4,0.1,0.519445615471636,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_7_g0_003_p0_03,boundary_lane,boundary_constriction,conductance,NaN,gap-tied weak links,0.215037671954447,0.231252984252325,0.0480261435031759,0.236550026417367,4,0.1,0.519489825033063,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_003_p0_08,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.215674898689567,0.231333200496413,0.0489839662994571,0.230696006587175,4,0.1,0.519925515320347,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_3_g0_003_p0_08,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.215864257145025,0.232086564990491,0.0485653364304073,0.229446892930043,4,0.1,0.520139307492424,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a4_1_g0_03_p0_03,boundary_lane,boundary_constriction,conductance,NaN,gap-tied weak links,0.215765520643762,0.231417937733107,0.0481419270890913,0.236007856490033,4,0.1,0.520309932051606,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,boundary_lane_g0_03_p0_08,boundary_lane,,conductance,NaN,physical bottleneck W_{ij},0.220157113882994,0.234355771672573,0.0710049979363468,0.273137078676534,3,0.075,0.52032364231256,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a4_1_g0_01_p0_03,boundary_lane,boundary_constriction,conductance,NaN,gap-tied weak links,0.215710351735096,0.23139611888381,0.0481397957714193,0.236757566697729,4,0.1,0.520345730981619,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a4_1_g0_003_p0_03,boundary_lane,boundary_constriction,conductance,NaN,gap-tied weak links,0.215726655608726,0.231405800629371,0.0481384806384759,0.237109557983729,4,0.1,0.520416489288461,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_3_g0_03_p0_08,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.216557627338509,0.232854994956584,0.0525069520278066,0.221279097975554,4,0.1,0.522500765237987,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_03_p0_03,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.219350050822531,0.232668557537628,0.0488816006379556,0.223666530653041,4,0.1,0.523345378332441,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_03_p0_03,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.219056710596316,0.232463088169338,0.0489073462564605,0.228193020096003,4,0.1,0.523585621223095,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_01_p0_03,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.219744617416435,0.232969140314896,0.0489647273226481,0.222145797585181,4,0.1,0.523754145503867,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_003_p0_03,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.219948694855439,0.233119506464664,0.0490178457619791,0.221585927562485,4,0.1,0.524000714626369,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_01_p0_03,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.219334377252756,0.232675396678511,0.0489923432560871,0.228552156333969,4,0.1,0.524092460624113,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a4_1_g0_003_p0_03,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.219493973677617,0.232790059559545,0.0490453867123299,0.228726483293076,4,0.1,0.52437732900814,1,1
AS006,v7.4.6,gap_tied_weak_links,boundary_sns_a3_7_g0_03_p0_08,boundary_lane,boundary_constriction,shape,NaN,gap-tied weak links,0.218410505563974,0.233366953750226,0.0531791697346751,0.222131249317159,4,0.1,0.525185319233017,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_03_p0_03,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.220849514645834,0.233862807311512,0.0486826563605278,0.223061643112374,4,0.1,0.525356131375394,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_03_p0_03,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.220594349088614,0.233647645700172,0.0487207267712577,0.227600147080662,4,0.1,0.525638145288783,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_01_p0_03,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.221292726369118,0.23422310452166,0.0488114982952864,0.221522102615002,4,0.1,0.525874019917292,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_003_p0_03,contact_relaxation,contact_relaxed,conductance,NaN,gap-tied weak links,0.221516778657661,0.234401998069142,0.0488791403016297,0.220949161497309,4,0.1,0.526164494058783,1,1
AS006,v7.4.6,gap_tied_weak_links,contact_relaxed_a3_7_g0_01_p0_03,contact_relaxation,contact_relaxed,shape,NaN,gap-tied weak links,0.220913694664154,0.233899627882505,0.0488595825787096,0.227946439037526,4,0.1,0.526240990549669,1,1
