B_T,shared_flux_quanta,shared_phase_envelope,R1_R2_shared_phase_state,independent_channel_periods,independent_channel_loop_geometry,manual_period_fit
-0.0317,-30.6601035964859,0.482038849565785,1,0,0,0
-0.0316,-30.5633840267809,0.197813454057728,1,0,0,0
-0.0315,-30.4666644570759,0.104535366872407,1,0,0,0
-0.0314,-30.3699448873708,0.397306786030213,1,0,0,0
-0.0313,-30.2732253176659,0.653677445995033,1,0,0,0
-0.0312,-30.1765057479608,0.85015898214373,1,0,0,0
-0.0311,-30.0797861782558,0.968749997735295,1,0,0,0
-0.031,-29.9830666085508,0.998585329745143,1,0,0,0
-0.0309,-29.8863470388458,0.936931501741148,1,0,0,0
-0.0308,-29.7896274691408,0.789437161633215,1,0,0,0
-0.0307,-29.6929078994358,0.569615559497543,1,0,0,0
-0.0306,-29.5961883297308,0.297606480221028,1,0,0,0
-0.0305,-29.4994687600258,0.00166893882540463,1,0,0,0
-0.0304,-29.4027491903208,0.300791451748829,1,0,0,0
-0.0303,-29.3060296206158,0.57235582172732,1,0,0,0
-0.0302,-29.2093100509108,0.791481655109025,1,0,0,0
-0.0301,-29.1125904812058,0.938092912484706,1,0,0,0
-0.03,-29.0158709115008,0.998757250732247,1,0,0,0
-0.0299,-28.9191513417958,0.967916677776502,1,0,0,0
-0.0298,-28.8224317720908,0.848396768988976,1,0,0,0
-0.0297,-28.7257122023858,0.651147791446699,1,0,0,0
-0.0296,-28.6289926326808,0.394241453927447,1,0,0,0
-0.0295,-28.5322730629758,0.101215199173218,1,0,0,0
-0.0294,-28.4355534932708,0.201084267671328,1,0,0,0
-0.0293,-28.3388339235658,0.484960641172457,1,0,0,0
-0.0292,-28.2421143538608,0.724405517054894,1,0,0,0
-0.0291,-28.1453947841558,0.897481250220533,1,0,0,0
-0.029,-28.0486752144508,0.988330854817065,1,0,0,0
-0.0289,-27.9519556447458,0.98863080178339,1,0,0,0
-0.0288,-27.8552360750408,0.898353610347281,1,0,0,0
-0.0287,-27.7585165053358,0.725770365779927,1,0,0,0
-0.0286,-27.6617969356308,0.486692932733876,1,0,0,0
-0.0285,-27.5650773659258,0.203025291646355,1,0,0,0
