parameter,grid_index,theta_value,profile_objective,objective_delta,support
W_crack_class,5,0.2,0.00810462207683789,0.00810462207683789,1
W_crack_class,6,0.25,0.00712321904552999,0.00712321904552999,1
W_crack_class,7,0.3,0.00620513130857288,0.00620513130857288,1
W_crack_class,8,0.35,0.00535035886596617,0.00535035886596617,1
W_crack_class,9,0.4,0.00455890171771008,0.00455890171771008,1
W_crack_class,10,0.45,0.00383075986380458,0.00383075986380458,1
W_crack_class,11,0.5,0.00316593330424969,0.00316593330424969,1
W_crack_class,12,0.55,0.00256442203904544,0.00256442203904544,1
W_crack_class,13,0.6,0.00202621715015107,0.00202621715015107,1
W_crack_class,14,0.65,0.00155132250558441,0.00155132250558441,1
W_crack_class,15,0.7,0.00113974714695998,0.00113974714695998,1
W_crack_class,16,0.75,0.000791491074277752,0.000791491074277752,1
W_crack_class,17,0.8,0.000506554287537762,0.000506554287537762,1
W_crack_class,18,0.85,0.000284936786739994,0.000284936786739994,1
W_crack_class,19,0.9,0.000126638571884439,0.000126638571884439,1
W_crack_class,20,0.95,3.165964297111e-05,3.165964297111e-05,1
W_crack_class,21,1,0,0,1
W_crack_class,22,1.05,3.16596429711101e-05,3.16596429711101e-05,1
W_crack_class,23,1.1,0.000126638571884441,0.000126638571884441,1
W_crack_class,24,1.15,0.000284936786739997,0.000284936786739997,1
W_crack_class,25,1.2,0.000506554287537755,0.000506554287537755,1
W_crack_class,26,1.25,0.000791491074277761,0.000791491074277761,1
W_crack_class,27,1.3,0.00113974714695998,0.00113974714695998,1
W_crack_class,28,1.35,0.0015513225055844,0.0015513225055844,1
W_crack_class,29,1.4,0.00202621715015107,0.00202621715015107,1
W_crack_class,30,1.45,0.00256442203904541,0.00256442203904541,1
W_crack_class,31,1.5,0.00316593330424971,0.00316593330424971,1
W_crack_class,32,1.55,0.00383075986380461,0.00383075986380461,1
W_crack_class,33,1.6,0.00455890171771004,0.00455890171771004,1
W_crack_class,34,1.65,0.00535035886596612,0.00535035886596612,1
W_crack_class,35,1.7,0.00620513130857278,0.00620513130857278,1
W_crack_class,36,1.75,0.00712321904552994,0.00712321904552994,1
W_crack_class,37,1.8,0.00810462207683786,0.00810462207683786,1
W_crack_class,38,1.85,0.00914934040249614,0.00914934040249614,1
W_crack_class,39,1.9,0.0102573753024923,0.0102573753024923,1
W_crack_class,40,1.95,0.0114287527575764,0.0114287527575764,1
W_crack_class,41,2,0.0126634695863533,0.0126634695863533,1
residual_shunt,1,0.2,0.552059004090028,0.551999664805922,1
residual_shunt,2,0.245,0.488932724326934,0.488873385042827,1
residual_shunt,3,0.29,0.429656371128214,0.429597031844108,1
residual_shunt,4,0.335,0.374229944493869,0.374170605209763,1
residual_shunt,5,0.38,0.322653444423899,0.322594105139793,1
residual_shunt,6,0.425,0.274926870918304,0.274867531634198,1
residual_shunt,7,0.47,0.231050223977084,0.230990884692978,1
residual_shunt,8,0.515,0.191023503600239,0.190964164316132,1
residual_shunt,9,0.56,0.154846709787769,0.154787370503662,1
residual_shunt,10,0.605,0.122519842539673,0.122460503255567,1
residual_shunt,11,0.65,0.0940429018559525,0.0939835625718459,1
residual_shunt,12,0.695,0.0694158877366067,0.0693565484525001,1
residual_shunt,13,0.74,0.0486388001816359,0.0485794608975293,1
residual_shunt,14,0.785,0.0317116391910399,0.0316522999069333,1
residual_shunt,15,0.83,0.0186343974922958,0.0185750582081892,1
residual_shunt,16,0.875,0.00940707114859939,0.00934773186449279,1
residual_shunt,17,0.92,0.00379771418282228,0.00373837489871568,1
residual_shunt,18,0.965,0.000726906230305822,0.000667566946199224,1
residual_shunt,19,1.01,5.93392841065981e-05,0,1
residual_shunt,20,1.055,0.0017950133442246,0.001735674060118,1
residual_shunt,21,1.1,0.00593392841065981,0.00587458912655321,1
residual_shunt,22,1.145,0.0130327495580525,0.0129734102739459,1
residual_shunt,23,1.19,0.0239712093784017,0.0239118700942951,1
residual_shunt,24,1.235,0.0387595222776783,0.0387001829935717,1
residual_shunt,25,1.28,0.0573977617413298,0.0573384224572232,1
residual_shunt,26,1.325,0.0798859277693561,0.0798265884852495,1
residual_shunt,27,1.37,0.106224020361757,0.106164681077651,1
residual_shunt,28,1.415,0.136412039518533,0.136352700234427,1
residual_shunt,29,1.46,0.170449985239684,0.170390645955578,1
residual_shunt,30,1.505,0.20833785752521,0.208278518241104,1
residual_shunt,31,1.55,0.250075656375111,0.250016317091005,1
residual_shunt,32,1.595,0.295663381789387,0.29560404250528,1
residual_shunt,33,1.64,0.345101033768037,0.345041694483931,1
residual_shunt,34,1.685,0.398388612311062,0.398329273026956,1
residual_shunt,35,1.73,0.455526117418463,0.455466778134356,1
residual_shunt,36,1.775,0.516513549090238,0.516454209806132,1
residual_shunt,37,1.82,0.581350907326388,0.581291568042281,1
residual_shunt,38,1.865,0.650038192126914,0.649978852842807,1
residual_shunt,39,1.91,0.722574868131696,0.722515528847589,1
residual_shunt,40,1.955,0.798961140817527,0.79890180153342,1
residual_shunt,41,2,0.879197250096778,0.879137910812671,1
Ic0_scale,1,0.25,0.128136231051879,0.128136231051879,1
Ic0_scale,2,0.3,0.107341094216995,0.107341094216995,1
Ic0_scale,3,0.35,0.0885820844730247,0.0885820844730247,1
Ic0_scale,4,0.4,0.0718592023761808,0.0718592023761808,1
Ic0_scale,5,0.45,0.0571724494889811,0.0571724494889811,1
Ic0_scale,6,0.5,0.0445218316148464,0.0445218316148464,1
Ic0_scale,7,0.55,0.0339073804782134,0.0339073804782134,1
Ic0_scale,8,0.6,0.0253294943325923,0.0253294943325923,1
Ic0_scale,9,0.65,0.0188465175364168,0.0188465175364168,1
Ic0_scale,10,0.7,0.0138459776484368,0.0138459776484368,1
Ic0_scale,11,0.75,0.00961523793558407,0.00961523793558407,1
Ic0_scale,12,0.8,0.00615375227877375,0.00615375227877375,1
Ic0_scale,13,0.85,0.00346148565681021,0.00346148565681021,1
Ic0_scale,14,0.9,0.00153843806969344,0.00153843806969344,1
Ic0_scale,15,0.95,0.000384609517423364,0.000384609517423364,1
Ic0_scale,16,1,0,0,1
Ic0_scale,17,1.05,0.000384609517423362,0.000384609517423362,1
Ic0_scale,18,1.1,0.00153843806969344,0.00153843806969344,1
Ic0_scale,19,1.15,0.00346148565681024,0.00346148565681024,1
Ic0_scale,20,1.2,0.00615375227877386,0.00615375227877386,1
Ic0_scale,21,1.25,0.00961523793558407,0.00961523793558407,1
Ic0_scale,22,1.3,0.0138459776484369,0.0138459776484369,1
Ic0_scale,23,1.35,0.0188465175364172,0.0188465175364172,1
Ic0_scale,24,1.4,0.0253294943325921,0.0253294943325921,1
Ic0_scale,25,1.45,0.0339073804782133,0.0339073804782133,1
Ic0_scale,26,1.5,0.0445218316148467,0.0445218316148467,1
Ic0_scale,27,1.55,0.0571724494889808,0.0571724494889808,1
Ic0_scale,28,1.6,0.0718592023761805,0.0718592023761805,1
Ic0_scale,29,1.65,0.0885820844730243,0.0885820844730243,1
Ic0_scale,30,1.7,0.107341094216995,0.107341094216995,1
Ic0_scale,31,1.75,0.128136231051879,0.128136231051879,1
Ic0_scale,32,1.8,0.150967494786292,0.150967494786292,1
Ic0_scale,33,1.85,0.175834885347139,0.175834885347139,1
Ic0_scale,34,1.9,0.202738402687008,0.202738402687008,1
Ic0_scale,35,1.95,0.231678046804402,0.231678046804402,1
Ic0_scale,36,2,0.262653817683872,0.262653817683872,1
Ic0_scale,37,2.05,0.295665715325418,0.295665715325418,1
Ic0_scale,38,2.1,0.330713739729041,0.330713739729041,1
Ic0_scale,39,2.15,0.36779789089474,0.36779789089474,1
Ic0_scale,40,2.2,0.407398063525078,0.407398063525078,1
Ic0_scale,41,2.25,0.450003100378061,0.450003100378061,1
B_supp_scale,1,0.2,1.15673547271327,1.15669717959069,0
B_supp_scale,2,0.2575,0.989092535503278,0.989054242380689,1
B_supp_scale,3,0.315,0.834724033949743,0.834685740827153,1
B_supp_scale,4,0.3725,0.693630039245669,0.69359174612308,1
B_supp_scale,5,0.43,0.565810578489581,0.565772285366992,1
B_supp_scale,6,0.4875,0.451265709150836,0.451227416028246,1
B_supp_scale,7,0.545,0.349995540137749,0.34995724701516,1
B_supp_scale,8,0.6025,0.262000321879422,0.261962028756833,1
B_supp_scale,9,0.66,0.187280807822157,0.187242514699568,1
B_supp_scale,10,0.7175,0.125840125580749,0.12580183245816,1
B_supp_scale,11,0.775,0.0777307468587989,0.0776924537362096,1
B_supp_scale,12,0.8325,0.0429744568257779,0.0429361637031886,1
B_supp_scale,13,0.89,0.0185338713331936,0.0184955782106044,1
B_supp_scale,14,0.9475,0.00422181676546403,0.00418352364287478,1
B_supp_scale,15,1.005,3.82931225892413e-05,0,1
B_supp_scale,16,1.0625,0.00598330040456919,0.00594500728197995,1
B_supp_scale,17,1.12,0.0220568386114038,0.0220185454888146,1
B_supp_scale,18,1.1775,0.0482589077430932,0.0482206146205039,1
B_supp_scale,19,1.235,0.0851236875974528,0.0850853944748635,1
