pair_id,theta_i,theta_j,profile_objective,objective_delta
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.333333333333333,0.16110120577366,0.161057151498033
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.416666666666667,0.14229658120699,0.142252526931363
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.5,0.12542424120219,0.125380186926563
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.583333333333333,0.11048418575926,0.110440131483633
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.666666666666667,0.0974764148781989,0.0974323606025723
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.75,0.086400928559008,0.0863568742833814
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.833333333333333,0.07723551073743,0.0771914564618034
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,0.916666666666667,0.0691433328695548,0.0690992785939281
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1,0.0617466199457085,0.0617025656700819
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.08333333333333,0.0550453719658917,0.055001317690265
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.16666666666667,0.0490395889301044,0.0489955346544778
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.25,0.0437292708383465,0.0436852165627198
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.33333333333333,0.0391144176906179,0.0390703634149912
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.41666666666667,0.0351950294869188,0.0351509752112921
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.5,0.031971106227249,0.0319270519516224
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.58333333333333,0.0294426479116087,0.029398593635982
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.66666666666667,0.0276096868934656,0.027565632617839
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.75,0.0264722131435086,0.0264281588678819
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.83333333333333,0.0260302252021315,0.0259861709265049
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,1.91666666666667,0.0262837480862068,0.0262396938105801
Tc_heterogeneity_amplitude__W_coverage_class,0.53125,2,0.0272329118505992,0.0271888575749726
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0,0.215301227290208,0.215257173014581
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.0833333333333333,0.190997703731558,0.190953649455931
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.166666666666667,0.168626464734777,0.168582410459151
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.25,0.148187510299866,0.14814345602424
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.333333333333333,0.129680840426826,0.129636786151199
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.416666666666667,0.113106455115654,0.113062400840027
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.5,0.0984643543663519,0.0984203000907253
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.583333333333333,0.0857545381789198,0.0857104839032932
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.666666666666667,0.0749770065533572,0.0749329522777305
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.75,0.0661173253163775,0.0660732710407509
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.833333333333333,0.0583628811771635,0.0583188269015368
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,0.916666666666667,0.0513039019819791,0.0512598477063524
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1,0.044940387730824,0.0448963334551974
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.08333333333333,0.0392723384236983,0.0392282841480717
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.16666666666667,0.034299754060602,0.0342556997849753
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.25,0.0300226346415351,0.0299785803659085
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.33333333333333,0.0264409801664975,0.0263969258908709
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.41666666666667,0.0235547906354894,0.0235107363598627
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.5,0.0213640697093799,0.0213200154337533
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.58333333333333,0.0198688460253093,0.0198247917496826
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.66666666666667,0.0190691081498185,0.0190250538741919
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.75,0.0189648735853887,0.0189208193097621
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.83333333333333,0.0195563464234518,0.0195122921478252
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,1.91666666666667,0.0208437776135651,0.0207997233379384
Tc_heterogeneity_amplitude__W_coverage_class,0.591666666666667,2,0.0228276808724297,0.022783626596803
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0,0.178922314881725,0.178878260606098
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.0833333333333333,0.156849030578573,0.156804976302946
Tc_heterogeneity_amplitude__W_coverage_class,0.652083333333333,0.166666666666667,0.13670803083729,0.136663976561664
