activation_law,mechanism,model_level,case_family,basis_caseName,basis_gammaW,basis_pW,basis_alpha_gap,seed,lambda_B,q,mean_raw_score,joint_penalized_score,lambdaW_AS002,lambdaW_AS004,lambdaW_AS006,score_AS002,score_AS004,score_AS006,policy
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,707,0.35,1.5,0.314537897638254,0.344537897638254,0.0071888585672553,0.123743686707646,0.35,0.257141494193003,0.351930429554123,0.334541769167636,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.2,3,0.324545226127103,0.344545226127103,8.4375e-05,0.025,0.2,0.255029428536508,0.351501475635885,0.367104774208917,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.2,2.5,0.324586086957912,0.344586086957912,0.000308093938596656,0.0353553390593274,0.2,0.255037527683104,0.351615958981716,0.367104774208917,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,505,0.35,1.5,0.314595643179696,0.344595643179696,0.0071888585672553,0.123743686707646,0.35,0.257233714223673,0.34914624458249,0.337406970732925,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_1_p0_3,0.1,0.3,3.3,909,0.95,0.75,0.32459810073558,0.34459810073558,0.136150597889122,0.564873379626292,0.95,0.285992247675257,0.359962421938678,0.327839632592806,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.35,1.25,0.31461250613895,0.34461250613895,0.0137370862045214,0.1471568726694,0.35,0.259418679001174,0.344396649381389,0.340022190034288,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.25,1.5,0.324619864225659,0.344619864225659,0.00513489897661093,0.0883883476483184,0.25,0.256380715202733,0.349823018751925,0.367655858722318,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,808,0.5,0.5,0.314640935550418,0.344640935550418,0.136930639376292,0.353553390593274,0.5,0.27596817305647,0.36045325395369,0.307501379641094,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.2,2,0.324649912891997,0.344649912891997,0.001125,0.05,0.2,0.255067101585019,0.351777862882056,0.367104774208917,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.4,0.75,0.314658740408439,0.344658740408439,0.057326567532262,0.237841423000544,0.4,0.27335600861455,0.340188664326387,0.330431548284379,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,606,0.55,0.5,0.314659883589163,0.344659883589163,0.150623703313921,0.388908729652601,0.55,0.30376863164933,0.35107593423101,0.289135084887149,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_1_p0_3,0.1,0.3,3.3,909,0.85,0.75,0.324673839997563,0.344673839997563,0.121818956006057,0.505413023876156,0.85,0.282732682021546,0.359042702617734,0.332246135353408,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,0.3,2.5,0.314699982721261,0.344699982721261,0.000462140907894984,0.0530330085889911,0.3,0.255118175473675,0.350884394787118,0.338097377902989,one full-series coefficient set; no crack term; no per-device lambda
binary_geometry_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,505,0.15,NaN,0.334706161864547,0.344706161864547,0.15,0.15,0.15,0.27072791933466,0.352953807882311,0.38043675837667,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,303,0.35,1.25,0.314710286967314,0.344710286967314,0.0137370862045214,0.1471568726694,0.35,0.259445390879588,0.352397534348414,0.33228793567394,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,0.3,3,0.314711024793188,0.344711024793188,0.0001265625,0.0375,0.3,0.255051514843562,0.350984181633012,0.338097377902989,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,202,0.35,1,0.314712966905913,0.344712966905913,0.02625,0.175,0.35,0.261963597509268,0.344153132079864,0.338022171128607,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,0.3,2,0.314734079486125,0.344734079486125,0.0016875,0.075,0.3,0.255361585679078,0.350743274876309,0.338097377902989,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,202,0.45,0.5,0.314743596792332,0.344743596792332,0.123237575438662,0.318198051533946,0.45,0.287595006721986,0.338366329999271,0.318269453655739,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,707,0.25,0.75,0.324747551375166,0.344747551375166,0.0358291047076638,0.14865088937534,0.25,0.262259475542736,0.351448925964233,0.360534252618528,one full-series coefficient set; no crack term; no per-device lambda
binary_geometry_activation,combined physical bottleneck,M2,combined_a3_3_p0_2,combined_a3_3_g0_05_p0_2,0.05,0.2,3.3,1010,0.45,NaN,0.324751108653525,0.344751108653525,0.45,0.45,0.45,0.308306974597897,0.354550276492649,0.311396074870028,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.2,1.5,0.324762231329645,0.344762231329645,0.00410791918128875,0.0707106781186548,0.2,0.255175090206301,0.352006829573718,0.367104774208917,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.35,3,0.314763585677619,0.344763585677619,0.00014765625,0.04375,0.35,0.255073585672122,0.349194981326448,0.340022190034288,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,505,0.25,0.75,0.32477953049375,0.34477953049375,0.0358291047076638,0.14865088937534,0.25,0.258776856052483,0.352938259656747,0.362623475772021,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,707,0.3,0.5,0.324788870522077,0.344788870522077,0.0821583836257749,0.212132034355964,0.3,0.271612329407543,0.351544515473182,0.351209766685505,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,808,0.25,1.5,0.324788994029979,0.344788994029979,0.00513489897661093,0.0883883476483184,0.25,0.255200186804218,0.354175726567484,0.364991068718236,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_1_p0_3,0.1,0.3,3.3,909,0.5,1.5,0.32480440177173,0.34480440177173,0.0102697979532219,0.176776695296637,0.5,0.257362120347173,0.353959430290393,0.363091654677623,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.3,0.75,0.324839192202727,0.344839192202727,0.0429949256491965,0.178381067250408,0.3,0.266366383006061,0.348395499592067,0.359755694010052,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.2,1.25,0.324856689487801,0.344856689487801,0.00784976354544079,0.0840896415253715,0.2,0.255310553686664,0.352154740567823,0.367104774208917,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.4,0.5,0.324870939056935,0.344870939056935,0.109544511501033,0.282842712474619,0.4,0.283918987036493,0.346738465548789,0.343955364585522,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_1_p0_3,0.1,0.3,3.3,909,0.45,3,0.324887619938706,0.344887619938706,0.00018984375,0.05625,0.45,0.255069551723154,0.352095150654738,0.367498157438226,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,808,0.35,3,0.314937980720596,0.344937980720596,0.00014765625,0.04375,0.35,0.255048956109779,0.352367015618149,0.33739797043386,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.25,1.25,0.324942653678531,0.344942653678531,0.00981220443180099,0.105112051906714,0.25,0.257614365112548,0.349557737200726,0.367655858722318,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,101,0.5,0.5,0.314959425962676,0.344959425962676,0.136930639376292,0.353553390593274,0.5,0.298808667239119,0.334819345864345,0.311250264784563,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,0.3,1.5,0.314963824389365,0.344963824389365,0.00616187877193312,0.106066017177982,0.3,0.256250394080584,0.350543701184522,0.338097377902989,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.2,1,0.325001606827272,0.345001606827272,0.015,0.1,0.2,0.255569408898502,0.352330637374398,0.367104774208917,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_7_p0_3,crack_tunnel_a3_7_g0_05_p0_3,0.05,0.3,3.7,606,0.2,3,0.325027444004916,0.345027444004916,8.4375e-05,0.025,0.2,0.255044958034534,0.351130746751399,0.368906627228814,one full-series coefficient set; no crack term; no per-device lambda
