synthetic_id,evidence_config,true_model,candidate_model,seed,primary_score,primary_curve_score,primary_onset_score,primary_width_score,primary_lowT_score,secondary_score,total_score,complexity_K,penalized_score,structured_candidate,selected_model,selected_score,run_status,second_best_model,second_best_score,selection_margin,unresolved
misspec_primary_secondary_M0_shifted_broadened_seed_0006,misspec_primary_secondary,M0_shifted_broadened,M0,6,0.184248552703265,0.00306727139707835,0.309723889555823,0.753496649329161,0.0516376112945809,0.206959934587698,0.192197536362817,0,0.192197536362817,0,M1,0.0581642963385735,scored,M2,0.180939825368539,0.122775529029965,0
misspec_primary_secondary_M0_shifted_broadened_seed_0006,misspec_primary_secondary,M0_shifted_broadened,M1,6,0.0442970411770001,0.00396463521361137,0.103241296518607,0.0527640078823539,0.0916790872274661,0.0553463416386384,0.0481642963385735,1,0.0581642963385735,1,M1,0.0581642963385735,scored,M2,0.180939825368539,0.122775529029965,0
misspec_primary_secondary_M0_shifted_broadened_seed_0006,misspec_primary_secondary,M0_shifted_broadened,M2,6,0.146870693843871,0.0257567641935842,0.206482593037215,0.356383608493073,0.261588345771168,0.187068212485779,0.160939825368539,2,0.180939825368539,1,M1,0.0581642963385735,scored,M2,0.180939825368539,0.122775529029965,0
misspec_primary_secondary_M0_shifted_broadened_seed_0007,misspec_primary_secondary,M0_shifted_broadened,M0,7,0.319184036076796,0.00757700688592274,0.877551020408163,0.822596394098591,0.109972462916092,0.198784179381573,0.277044086233468,0,0.277044086233468,0,M1,0.103351730986685,scored,M2,0.187071560371911,0.0837198293852264,0
misspec_primary_secondary_M0_shifted_broadened_seed_0007,misspec_primary_secondary,M0_shifted_broadened,M1,7,0.116439374636175,0.000482019061534922,0.464585834333733,0.121863752651784,0.033344235605955,0.0504746784947739,0.0933517309866845,1,0.103351730986685,1,M1,0.103351730986685,scored,M2,0.187071560371911,0.0837198293852264,0
misspec_primary_secondary_M0_shifted_broadened_seed_0007,misspec_primary_secondary,M0_shifted_broadened,M2,7,0.15273026313028,0.0137615037725204,0.361344537815125,0.287283863723644,0.203253494149657,0.193705398106368,0.167071560371911,2,0.187071560371911,1,M1,0.103351730986685,scored,M2,0.187071560371911,0.0837198293852264,0
misspec_primary_secondary_M0_shifted_broadened_seed_0008,misspec_primary_secondary,M0_shifted_broadened,M0,8,0.316355152905857,0.00254051271261853,0.98079231692677,0.758909017567307,0.0339338701939875,0.205955178560114,0.277715161884847,0,0.277715161884847,0,M1,0.124881543938369,scored,M2,0.21834155816981,0.0934600142314411,0
misspec_primary_secondary_M0_shifted_broadened_seed_0008,misspec_primary_secondary,M0_shifted_broadened,M1,8,0.141181476074528,0.00496433847355193,0.567827130852341,0.0581763761204998,0.10938282832806,0.0660388128283594,0.114881543938369,1,0.124881543938369,1,M1,0.124881543938369,scored,M2,0.21834155816981,0.0934600142314411,0
misspec_primary_secondary_M0_shifted_broadened_seed_0008,misspec_primary_secondary,M0_shifted_broadened,M2,8,0.201622233670667,0.0283311354698337,0.464585834333733,0.350971240254927,0.279292086871761,0.192248875096791,0.19834155816981,2,0.21834155816981,1,M1,0.124881543938369,scored,M2,0.21834155816981,0.0934600142314411,0
misspec_primary_secondary_M0_shifted_broadened_seed_0009,misspec_primary_secondary,M0_shifted_broadened,M0,9,0.232438709369461,0.0026182005369149,0.464585834333734,0.896760153014433,0.0246561285472789,0.214143187487181,0.226035276710663,0,0.226035276710663,0,M1,0.0914862032136499,scored,M2,0.172192041585822,0.0807058383721726,0
