sample_id,parameter,value,sample_weight,objective_value
1113,W_coverage_class,1.75402034811012,0.000223244556022138,2.85491818977157
1113,W_crack_class,1.72921300138284,0.000223244556022138,2.85491818977157
1113,residual_shunt,0.977988664216263,0.000223244556022138,2.85491818977157
1113,Ic0_scale,1.18710679278644,0.000223244556022138,2.85491818977157
1113,B_supp_scale,0.226992408942556,0.000223244556022138,2.85491818977157
1114,Tc_scale,0.903462982260347,0.000101794320163826,4.425545241469
1114,Tc_heterogeneity_amplitude,0.692377502906048,0.000101794320163826,4.425545241469
1114,W_boundary_class,0.183846411153645,0.000101794320163826,4.425545241469
1114,W_coverage_class,0.706650533762213,0.000101794320163826,4.425545241469
1114,W_crack_class,1.78067775501761,0.000101794320163826,4.425545241469
1114,residual_shunt,0.257341404816975,0.000101794320163826,4.425545241469
1114,Ic0_scale,0.486798075349275,0.000101794320163826,4.425545241469
1114,B_supp_scale,1.48208777870568,0.000101794320163826,4.425545241469
1115,Tc_scale,1.07422225014648,9.66528781341252e-05,4.52920189015863
1115,Tc_heterogeneity_amplitude,0.905409162765162,9.66528781341252e-05,4.52920189015863
1115,W_boundary_class,1.13998760891871,9.66528781341252e-05,4.52920189015863
1115,W_coverage_class,0.816863493882871,9.66528781341252e-05,4.52920189015863
1115,W_crack_class,0.686945255620544,9.66528781341252e-05,4.52920189015863
1115,residual_shunt,0.824978502233917,9.66528781341252e-05,4.52920189015863
1115,Ic0_scale,1.49796294629707,9.66528781341252e-05,4.52920189015863
1115,B_supp_scale,1.99754198453819,9.66528781341252e-05,4.52920189015863
1116,Tc_scale,0.979922188405617,0.000325655372740039,2.09977449171753
1116,Tc_heterogeneity_amplitude,1.20267158937156,0.000325655372740039,2.09977449171753
1116,W_boundary_class,0.319597640749088,0.000325655372740039,2.09977449171753
1116,W_coverage_class,1.27872887308916,0.000325655372740039,2.09977449171753
1116,W_crack_class,1.07835095372865,0.000325655372740039,2.09977449171753
1116,residual_shunt,1.2467296473141,0.000325655372740039,2.09977449171753
1116,Ic0_scale,0.394781453670415,0.000325655372740039,2.09977449171753
1116,B_supp_scale,1.96614229114754,0.000325655372740039,2.09977449171753
1117,Tc_scale,1.08141812620202,5.40047355259986e-06,10.2984805691494
1117,Tc_heterogeneity_amplitude,1.57793273886317,5.40047355259986e-06,10.2984805691494
1117,W_boundary_class,1.12563466551794,5.40047355259986e-06,10.2984805691494
1117,W_coverage_class,0.946519772541849,5.40047355259986e-06,10.2984805691494
1117,W_crack_class,1.70368158176066,5.40047355259986e-06,10.2984805691494
1117,residual_shunt,0.281323548188486,5.40047355259986e-06,10.2984805691494
1117,Ic0_scale,1.77126906544962,5.40047355259986e-06,10.2984805691494
1117,B_supp_scale,2.10364470711928,5.40047355259986e-06,10.2984805691494
1118,Tc_scale,1.03977291577662,2.69063341916497e-05,7.08673039705734
1118,Tc_heterogeneity_amplitude,1.62424410294054,2.69063341916497e-05,7.08673039705734
1118,W_boundary_class,1.56678148658115,2.69063341916497e-05,7.08673039705734
1118,W_coverage_class,1.49251386115104,2.69063341916497e-05,7.08673039705734
1118,W_crack_class,1.97647719952443,2.69063341916497e-05,7.08673039705734
1118,residual_shunt,0.336702417141995,2.69063341916497e-05,7.08673039705734
1118,Ic0_scale,1.54730327435797,2.69063341916497e-05,7.08673039705734
1118,B_supp_scale,0.753129770416786,2.69063341916497e-05,7.08673039705734
1119,Tc_scale,0.931357808164558,0.000117106562579501,4.14528523533805
1119,Tc_heterogeneity_amplitude,0.549772590357696,0.000117106562579501,4.14528523533805
1119,W_boundary_class,0.755436344297728,0.000117106562579501,4.14528523533805
1119,W_coverage_class,0.404076697045847,0.000117106562579501,4.14528523533805
1119,W_crack_class,1.17640523976529,0.000117106562579501,4.14528523533805
1119,residual_shunt,0.936891464694521,0.000117106562579501,4.14528523533805
1119,Ic0_scale,2.06478672772802,0.000117106562579501,4.14528523533805
1119,B_supp_scale,1.5981062000452,0.000117106562579501,4.14528523533805
1120,Tc_scale,1.07391730800968,0.000495157903243623,1.26170044214793
1120,Tc_heterogeneity_amplitude,1.56019052690052,0.000495157903243623,1.26170044214793
1120,W_boundary_class,0.750695194330021,0.000495157903243623,1.26170044214793
1120,W_coverage_class,0.0475703273059387,0.000495157903243623,1.26170044214793
1120,W_crack_class,0.095672385861084,0.000495157903243623,1.26170044214793
1120,residual_shunt,0.392700093223073,0.000495157903243623,1.26170044214793
1120,Ic0_scale,2.21702173900672,0.000495157903243623,1.26170044214793
1120,B_supp_scale,0.767605214578026,0.000495157903243623,1.26170044214793
1121,Tc_scale,0.961493647388343,6.10168629221872e-05,5.44915332381619
1121,Tc_heterogeneity_amplitude,0.457402136885414,6.10168629221872e-05,5.44915332381619
1121,W_boundary_class,1.13381012763759,6.10168629221872e-05,5.44915332381619
1121,W_coverage_class,1.31950592897727,6.10168629221872e-05,5.44915332381619
1121,W_crack_class,1.38232267333638,6.10168629221872e-05,5.44915332381619
1121,residual_shunt,1.20953512302121,6.10168629221872e-05,5.44915332381619
1121,Ic0_scale,1.90723391264974,6.10168629221872e-05,5.44915332381619
1121,B_supp_scale,1.438356856864,6.10168629221872e-05,5.44915332381619
1122,Tc_scale,1.02791345107927,0.000392036238149486,1.72874529889844
1122,Tc_heterogeneity_amplitude,0.476209449987986,0.000392036238149486,1.72874529889844
1122,W_boundary_class,1.56474726054496,0.000392036238149486,1.72874529889844
1122,W_coverage_class,0.295905191222793,0.000392036238149486,1.72874529889844
1122,W_crack_class,1.85812027756962,0.000392036238149486,1.72874529889844
1122,residual_shunt,0.885312782387946,0.000392036238149486,1.72874529889844
1122,Ic0_scale,0.457351354041397,0.000392036238149486,1.72874529889844
