field_T,current_uA,dVdI_full_ohm,dVdI_covered_ohm,dVdI_boundary_ohm,dVdI_uncovered_ohm
-1.5,2.625,78.1322393683115,79.3979297495257,80.84932314282969,72.77499640580709
-1.5,2.6500000953674316,78.1940794957718,79.36502506884972,80.91740261260907,72.9583528879939
-1.5,2.674999952316284,78.20411541081876,79.27742329107195,80.93147692231832,73.0968040781031
-1.5,2.700000047683716,78.16683469548025,79.1400199375887,80.89604263701813,73.1942665527622
-1.5,2.7249999046325684,78.08615725070581,78.95733585231483,80.81521653661048,73.25357419321995
-1.5,2.75,77.96559078870882,78.73295068754487,80.6927587746386,73.27779953869322
-1.5,2.7750000953674316,77.8100552787289,78.47224499364393,80.53366720486974,73.27112754565678
-1.5,2.799999952316284,77.6218503806274,78.17805781497646,80.3403557652216,73.23496634668959
-1.5,2.825000047683716,77.40506463280303,77.85473360417859,80.11705428352639,73.17286539699012
-1.5,2.8499999046325684,77.16275244936287,77.50567708110316,79.86705452567935,73.08708259300215
-1.5,2.875,76.89740861577889,77.1337376842489,79.59295650193258,72.97948641448625
-1.5,2.9000000953674316,76.61310414512741,76.74342066809459,79.29874442135997,72.85366854163931
-1.5,2.924999952316284,76.3112157497485,76.3364389246417,78.98598097285094,72.71029702742544
-1.5,2.950000047683716,75.99458985579759,75.91592054293551,78.65772270153593,72.55155215688501
-1.5,2.9749999046325684,75.66512872810517,75.4839460995936,78.31596481079714,72.37896792358652
-1.5,3.0,75.32450391966768,75.04278096145254,77.9622614596301,72.19355866097362
-1.5,3.0250000953674316,74.97561061231227,74.595378334609,77.59966997239326,71.99792384609418
-1.5,3.049999952316284,74.61882144975334,74.14225377351113,77.22874483691385,71.79199782320438
-1.5,3.075000047683716,74.25600010725384,73.68576449900274,76.8513460513609,71.57697283012067
-1.5,3.0999999046325684,73.88824835345076,73.2271648267938,76.46851573241929,71.35382112542993
-1.5,3.125,73.51618019201032,72.76718387612118,76.08092427606107,71.12292377208769
-1.5,3.1500000953674316,73.14209745413518,72.30825160132645,75.69126621352416,70.88588342509684
-1.5,3.174999952316284,72.76541308384003,71.85007029308963,75.29859524637277,70.64219550630469
-1.5,3.200000047683716,72.38730042840643,71.39399939053283,74.90395226037617,70.39295496360546
-1.5,3.2249999046325684,72.00856853026198,70.94077478587678,74.50891662729646,70.13804397652211
-1.5,3.25,71.62905245966476,70.49014524718768,74.1129307678766,69.87793941396285
-1.5,3.2750000953674316,71.25026807163704,70.04438987156254,73.7171241993965,69.61362632361397
-1.5,3.299999952316284,70.87184776370441,69.60284307864686,73.32166110747676,69.34443639227175
-1.5,3.325000047683716,70.49430118371038,69.16556253374529,72.92721821241184,69.0712758879854
-1.5,3.3499999046325684,70.11765210150543,68.73317427386519,72.53326486873812,68.79408247196125
-1.5,3.375,69.7420952569255,68.30562916131976,72.14061717633831,68.51255660650122
-1.5,3.4000000953674316,69.36868866125133,67.88416520917917,71.75001263901504,68.2279369770713
-1.5,3.424999952316284,68.99688232391873,67.46833870566752,71.36068858363933,67.93981152856304
-1.5,3.450000047683716,68.62678049090437,67.05782487063243,70.97324887124432,67.64820627823246
-1.5,3.4749999046325684,68.25859236528959,66.65283035604625,70.58767190187882,67.35364166250383
-1.5,3.5,67.89245493419457,66.25350771414332,70.2044285765478,67.05578812001477
-1.5,3.5250000953674316,67.52913415041621,65.86071050904911,69.82385568918016,66.75586375541889
-1.5,3.549999952316284,67.16784266393006,65.47336004023646,69.44518172535118,66.45345936265085
-1.5,3.575000047683716,66.80902268534419,65.09187758063217,69.06922905154306,66.14853897020566
-1.5,3.5999999046325684,66.45307707188113,64.71672333108882,68.69621209620436,65.84167809164865
-1.5,3.625,66.09929365319613,64.34655925747393,68.32537421597499,65.53308151918418
-1.5,3.6500000953674316,65.74895079931684,63.98299338482093,67.95818021308241,65.22332729712389
-1.5,3.674999952316284,65.40126778335116,63.62521942985177,67.59356691665835,64.91204631225492
-1.5,3.700000047683716,65.0564929149873,63.27307757712151,67.23198440988836,64.59977712552927
-1.5,3.7249999046325684,64.71521377815043,62.927217900483356,66.87421045491828,64.28676811555852
-1.5,3.75,64.37675091031997,62.586584583948934,66.5195157097778,63.97292206940347
-1.5,3.7750000953674316,64.04188116556679,62.25191422089074,66.16842033465991,63.659413271703215
-1.5,3.799999952316284,63.71061275099055,61.92324384657968,65.8209781508258,63.34614960540284
-1.5,3.825000047683716,63.38294220131547,61.60038803046518,65.47742201814526,63.033061864856336
-1.5,3.8499999046325684,63.058716125667615,61.283140811562134,65.13731029868723,62.72045302912056
-1.5,3.875,62.7381793101481,60.971346345138954,64.80135944311633,62.408488010832116
-1.5,3.9000000953674316,62.42196014545789,60.66568132876728,64.46981012560082,62.098245957769905
-1.5,3.924999952316284,62.10964125414375,60.365368755858526,64.14244941241805,61.78952972594607
-1.5,3.950000047683716,61.80129639632469,60.070798521697725,63.81919341443927,61.48219005221654
-1.5,3.9749999046325684,61.49717107245215,59.78210919131334,63.50021817043353,61.17671159374049
-1.5,4.0,61.19713263671838,59.49826158594351,63.18595749588485,60.87344870889001
-1.5,4.025000095367432,60.90155617162873,59.22052115341239,62.87603926355314,60.57255262958324
