device,caseName,description,topology,linkClass,calibrationMode,alphaGap,alphaPriorPenalty,gammaW,pW,meanW,minW,activeWeakLinkFraction,medianWeakIc_A,medianAllIc_A,medianWeakDelta_meV,normalScaleApplied,shapeScore,shapeFullMap,shapeLowBias,shapeZeroBias,shapeAsymmetry,conductanceScore,conductanceFullMap,conductanceLowBias,conductanceZeroBias,conductanceAsymmetry,modelRN_top_4_10,modelRN_bottom_3_9
AS006,crack_tunnel_a3_3_g0_003_p0_08,"tunnel/crack-like links, alpha=3.3, tau=0.003, p=0.08",tear_lane,crack_tunnel,shape,3.3,1,0.003,0.08,0.920066230936818,0.003,0.0801742919389978,2.74931599326158e-09,3.85502835211835e-07,0.10800145216631,150.895319203867,0.201909922780258,0.247286859646305,0.281712184458719,0.175426662315806,0.0499831035574714,0.207140066738182,0.250272192164892,0.284238159149132,0.174692111897111,0.0696462231436494,239.820676148164,254.298262145169
AS006,crack_tunnel_a3_3_g0_03_p0_08,"tunnel/crack-like links, alpha=3.3, tau=0.03, p=0.08",tear_lane,crack_tunnel,shape,3.3,1,0.03,0.08,0.922230936819171,0.03,0.0801742919389978,2.72437806616849e-08,3.82006095796557e-07,0.10800145216631,152.276557922429,0.202039749696407,0.248077179665952,0.2824133295642,0.174601415434964,0.049646472785027,0.207494189672049,0.251783843856946,0.285519559882645,0.173264641694797,0.069447072590176,239.598343494637,253.87631503693
AS006,crack_tunnel_a3_7_g0_01_p0_08,"tunnel/crack-like links, alpha=3.7, tau=0.01, p=0.08",tear_lane,crack_tunnel,shape,3.7,0,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,1.02495104363889e-08,4.31148912214393e-07,0.121092537277378,151.273840931216,0.203129999516667,0.252534921948243,0.281376179551563,0.176240457351377,0.0504061897306341,0.208597510593011,0.256404962055521,0.284788489319632,0.174549503165794,0.0700158556429359,239.114495978558,254.078210295867
AS006,crack_tunnel_a3_7_g0_003_p0_08,"tunnel/crack-like links, alpha=3.7, tau=0.003, p=0.08",tear_lane,crack_tunnel,shape,3.7,0,0.003,0.08,0.920066230936818,0.003,0.0801742919389978,3.08256641668722e-09,4.32230451601148e-07,0.121092537277378,150.895319203867,0.203184793609214,0.252577412592533,0.281423270891255,0.176263349505223,0.05052664451231,0.208551458695931,0.256272976428595,0.284705648955481,0.174690984507739,0.069885700744295,239.185479123588,254.144968957999
AS006,crack_tunnel_a3_7_g0_03_p0_08,"tunnel/crack-like links, alpha=3.7, tau=0.03, p=0.08",tear_lane,crack_tunnel,shape,3.7,0,0.03,0.08,0.922230936819171,0.03,0.0801742919389978,3.05460571055255e-08,4.28309864984018e-07,0.121092537277378,152.276557922429,0.203287096710169,0.253322418647225,0.28218608256281,0.175388334387629,0.0500520024341664,0.208920826652018,0.257804758059657,0.286105188306774,0.173170081552041,0.0696526937235256,238.993505301292,253.632818815241
AS006,crack_tunnel_a4_1_g0_01_p0_08,"tunnel/crack-like links, alpha=4.1, tau=0.01, p=0.08",tear_lane,crack_tunnel,shape,4.1,0.999999999999997,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,1.13575656187012e-08,4.7775960542676e-07,0.134183622388445,151.273840931216,0.203995806205649,0.255810131019101,0.281146356864336,0.176831112091328,0.0511238853823942,0.209460876861478,0.260218996976736,0.285082707259652,0.17453506847811,0.070021814028627,238.52117257273,254.125946651916
AS006,crack_tunnel_a4_1_g0_003_p0_08,"tunnel/crack-like links, alpha=4.1, tau=0.003, p=0.08",tear_lane,crack_tunnel,shape,4.1,0.999999999999997,0.003,0.08,0.920066230936818,0.003,0.0801742919389978,3.41581684011287e-09,4.78958067990461e-07,0.134183622388445,150.895319203867,0.204068198637605,0.255890940362895,0.281214540998984,0.176835344379349,0.0512804256027209,0.209413292217491,0.260095073052423,0.284988763556345,0.174689447415148,0.0698792425424941,238.597539578341,254.221043269631
AS006,crack_tunnel_a4_1_g0_03_p0_08,"tunnel/crack-like links, alpha=4.1, tau=0.03, p=0.08",tear_lane,crack_tunnel,shape,4.1,0.999999999999997,0.03,0.08,0.922230936819171,0.03,0.0801742919389978,3.38483335493661e-08,4.7461363417148e-07,0.134183622388445,152.276557922429,0.204146275028472,0.25661395070391,0.281995675602399,0.175945569492357,0.050693030268807,0.209809212203967,0.261674728801999,0.286481510006498,0.173088494945732,0.0696680710243016,238.404699028645,253.632354675503
AS006,combined_a3_3_g0_003_p0_03,"combined weak-link classes, alpha=3.3, tau=0.003, p=0.03",combined,boundary_constriction,shape,3.3,1,0.003,0.03,0.970024836601307,0.003,0.0300653594771242,3.08327939428299e-09,3.71251225569872e-07,0.118804458271627,165.495049064998,0.207289668894804,0.265572864933708,0.296568568612292,0.161585618390202,0.0498984614810484,0.212523332350959,0.28194784956499,0.311958561030511,0.149596497488342,0.0477457085259811,241.905411442706,238.926491931373
AS006,combined_a3_3_g0_03_p0_03,"combined weak-link classes, alpha=3.3, tau=0.03, p=0.03",combined,boundary_constriction,shape,3.3,1,0.03,0.03,0.970836601307189,0.03,0.0300653594771242,3.06363409491826e-08,3.68885776146325e-07,0.118804458271627,166.556272331724,0.20733195994166,0.266188094878042,0.297199483414369,0.160916398926998,0.0492271101963641,0.21182508690594,0.280339919609159,0.310481136129112,0.15049378326213,0.0473262976169308,241.971593834448,240.900647306084
AS006,combined_a3_3_g0_01_p0_03,"combined weak-link classes, alpha=3.3, tau=0.01, p=0.03",combined,boundary_constriction,shape,3.3,1,0.01,0.03,0.970235294117647,0.01,0.0300653594771242,1.02593001707501e-08,3.70590265248982e-07,0.118804458271627,165.790215104134,0.207336571535405,0.265757198697671,0.296760616727731,0.161386994379499,0.0498608367314527,0.212236205808676,0.281309929483573,0.311370383621392,0.149956262905078,0.0475275995910232,241.916141910708,239.669154788518
AS006,combined_a3_7_g0_003_p0_03,"combined weak-link classes, alpha=3.7, tau=0.003, p=0.03",combined,boundary_constriction,shape,3.7,0,0.003,0.03,0.970024836601307,0.003,0.0300653594771242,3.45701022995365e-09,4.16251374123796e-07,0.133204998668187,165.495049064998,0.208517338662579,0.270572602199109,0.296625744120599,0.161930486842348,0.0505059303498042,0.213781146135107,0.287372554985413,0.312379599804715,0.149616335002642,0.0478484572785677,241.446511265821,239.034555505773
AS006,combined_a3_7_g0_01_p0_03,"combined weak-link classes, alpha=3.7, tau=0.01, p=0.03",combined,boundary_constriction,shape,3.7,0,0.01,0.03,0.970235294117647,0.01,0.0300653594771242,1.15028517065986e-08,4.15510297400373e-07,0.133204998668187,165.790215104134,0.20855517599594,0.270750515411903,0.296808882462481,0.161736881576116,0.0504387182883078,0.213497151694697,0.286742908964675,0.311796641968318,0.149970915957113,0.0476350811178616,241.462293445645,239.758138017697
AS006,combined_a3_7_g0_03_p0_03,"combined weak-link classes, alpha=3.7, tau=0.03, p=0.03",combined,boundary_constriction,shape,3.7,0,0.03,0.03,0.970836601307189,0.03,0.0300653594771242,3.43498368218108e-08,4.13599203558e-07,0.133204998668187,166.556272331724,0.208597804593985,0.271314403644096,0.297381629200527,0.161155964639609,0.0498118124253937,0.21310348870665,0.285808854942869,0.310949398262688,0.150481426441069,0.0474453585793406,241.524054196924,241.072398050455
