device,caseName,description,topology,calibrationMode,gammaW,pW,meanW,minW,activeWeakLinkFraction,normalScaleApplied,shapeScore,shapeFullMap,shapeLowBias,shapeZeroBias,shapeAsymmetry,conductanceScore,conductanceFullMap,conductanceLowBias,conductanceZeroBias,conductanceAsymmetry,modelRN_top_4_10,modelRN_bottom_3_9
AS006,combined_g0_01_p0_03,"combined physical bottleneck, \gamma_W=0.01, p_W=0.03",combined,conductance,0.01,0.03,0.970235294117647,0.01,0.0300653594771242,165.611271162002,0.2023468831017,0.244023041124175,0.299809011448052,0.155640935020352,0.0484944355747956,0.208462603398116,0.260480149925936,0.315739838272459,0.145730200578454,0.0471253993647717,242.191713738733,238.554194011733
AS006,combined_g0_03_p0_03,"combined physical bottleneck, \gamma_W=0.03, p_W=0.03",combined,conductance,0.03,0.03,0.970836601307189,0.03,0.0300653594771242,166.357948017447,0.202760882511054,0.245760179950272,0.300729867705349,0.15491273333664,0.0481260474498375,0.208318362542111,0.260663739111956,0.315163195784512,0.145957664958888,0.0469453997770957,242.296481511154,239.86050025836
AS006,tear_lane_g0_003_p0_03,"tear-like interrupted lane, \gamma_W=0.003, p_W=0.03",tear_lane,conductance,0.003,0.03,0.969590413943355,0.003,0.0305010893246187,165.32695007957,0.205940320002813,0.256859500529121,0.305668511122819,0.15206245939807,0.0478441307724213,0.217940418500849,0.28055818349072,0.328339910133012,0.141281284129031,0.0579474611194639,233.424492548437,241.19442958364
AS006,tear_lane_g0_01_p0_03,"tear-like interrupted lane, \gamma_W=0.01, p_W=0.03",tear_lane,conductance,0.01,0.03,0.969803921568627,0.01,0.0305010893246187,165.611271162002,0.206154379685892,0.257580394771363,0.306114597711618,0.151732968835305,0.0478247466186342,0.217974179935375,0.280963222036641,0.328502307073315,0.141154251359774,0.0575858260622158,233.663438171577,241.222678841882
AS006,tear_lane_g0_03_p0_03,"tear-like interrupted lane, \gamma_W=0.03, p_W=0.03",tear_lane,conductance,0.03,0.03,0.970413943355119,0.03,0.0305010893246187,166.357948017447,0.206624436456035,0.259224078291836,0.307124745820424,0.150985847977061,0.0476974888312684,0.218060017791422,0.281949833247167,0.328928098372616,0.140837164945133,0.0566796273764499,234.288454471498,241.147028474561
AS006,shuffled_g0_003_p0_08,"shuffled W histogram, \gamma_W=0.003, p_W=0.08",shuffled,conductance,0.003,0.08,0.920066230936818,0.003,0.0801742919389978,145.612980628154,0.210540894545357,0.266273616623598,0.318810510665315,0.143311766460413,0.0493727543633683,0.249470586180042,0.340632004754952,0.389833543843237,0.140070884357809,0.0494236189723345,219.394945219111,213.360791958616
AS006,contact_relaxation_g0_003_p0_08,"metal-contact relaxation halos, \gamma_W=0.003, p_W=0.08",contact_relaxation,conductance,0.003,0.08,0.918762962962962,0.003,0.0814814814814815,145.612980628154,0.210613467128095,0.246457108431461,0.336161600178039,0.136878803593466,0.0472289224056131,0.189128000672414,0.189408681225788,0.252891421777446,0.209500014453979,0.0517963159582791,302.224946206305,289.320068461718
AS006,contact_relaxation_g0_01_p0_08,"metal-contact relaxation halos, \gamma_W=0.01, p_W=0.08",contact_relaxation,conductance,0.01,0.08,0.919333333333333,0.01,0.0814814814814815,146.229568011476,0.210795186948866,0.247686642612698,0.335935867831175,0.136872978866961,0.0473102998433744,0.188963935111794,0.190037896916085,0.255012356848056,0.205536409306743,0.0515896425253585,300.20418932924,287.620036917466
AS006,shuffled_g0_01_p0_08,"shuffled W histogram, \gamma_W=0.01, p_W=0.08",shuffled,conductance,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,146.229568011476,0.210838105793418,0.267332569165002,0.319297669087001,0.143049887139756,0.049274679975139,0.249522929195232,0.341117108623298,0.389850849522058,0.140038955491685,0.0492098563246542,219.527477488376,213.618796725899
AS006,boundary_lane_g0_003_p0_03,"coverage-boundary lane, \gamma_W=0.003, p_W=0.03",boundary_lane,conductance,0.003,0.03,0.968721568627451,0.003,0.0313725490196078,165.32695007957,0.211163003222176,0.27288760483483,0.315840332512411,0.145712890898515,0.0480657157561891,0.235205781767131,0.322833739583415,0.363775415104972,0.135094246111413,0.047720385179273,228.952718990996,223.401992428778
